state,code_state,district,code_district,code_state_district,year,population_total,area_km2,population_growth,housing_total,housing_occupied,housing_empty,household_total,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural,,,,,,,,,,,
Johor,1,Batu Pahat,1,1_1,1970,249596,1966,,,,,,,122454,127142,249596,,162801,82116,4485,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,1,Batu Pahat,1,1_1,1980,274625,1966,1,,,,,,134233,140392,274625,,171498,97637,5301,189,112280,151068,11277,,,,,,,,,,,,,,64727,209898,,,,,,,,,,,
Johor,1,Batu Pahat,1,1_1,1991,294056,1966,0.7,66791,58132,8659,59369,4.9,145922,148134,290877,3179,133958,103953,5536,47430,102996,176238,14822,224391,102010,108892,12265,1224,,184458,3377,78549,4401,20562,1435,948,96335,197721,,,,,,,state,district,code_state,code_district,code_state_district
Johor,1,Batu Pahat,1,1_1,2000,336509,1966,1.3,87184,71634,15550,72434,4.6,170374,166135,328050,8459,216575,105480,5525,470,109112,207499,19898,227397,77343,135002,13904,1148,,225280,3639,89968,4723,11748,770,381,161508,175001,,,,,,,Johor,Batu Pahat,1,1,1_1
Johor,1,Batu Pahat,1,1_1,2010,401902,1966,1.8,107904,90396,17508,91198,4.3,206220,195682,383391,18511,256719,119361,6443,868,112129,261213,28560,289773,105366,162267,20416,1724,,267911,5118,116380,6824,3173,663,1833,221888,180014,,,,,,,Johor,Johor Bahru,1,2,1_2
Johor,1,Batu Pahat,1,1_1,2020,495338,1966,2.1,129486,105356,24130,116252,4,261609,233729,465143,30195,316367,140103,6910,1763,105923,356460,32955,389415,159048,211339,13635,5010,383,330803,14565,129831,13484,5570,1085,,309750,185588,,,,,,,Johor,Kluang,1,3,1_3
Johor,1,Johor Bahru,2,1_2,1970,267913,1066,,,,,,,136870,131043,267913,,122373,112017,29212,4311,,,,,,,,,,,,,,,,,,,,,,,,,Johor,Kota Tinggi,1,4,1_4
Johor,1,Johor Bahru,2,1_2,1980,406871,1066,4.2,,,,,,208189,198682,406871,,206085,161615,37956,1215,149163,244479,13229,,,,,,,,,,,,,,270022,136849,,,,,,,Johor,Mersing,1,5,1_5
Johor,1,Johor Bahru,2,1_2,1991,704471,1066,5.5,184488,141534,42954,150938,4.6,366337,338134,678287,26184,329359,260493,64923,23512,229812,456055,18604,536860,248101,269251,16602,2906,,376354,19029,196853,55420,46926,5469,2632,560227,144244,,,,,,,Johor,Muar,1,6,1_6
Johor,1,Johor Bahru,2,1_2,2000,1081978,1066,4.3,303419,238508,64911,246082,4.3,564466,517512,1017892,64086,521248,387522,101827,7295,327529,727994,26455,754449,289176,436574,23984,4715,,577765,35139,336341,90901,28854,6565,6413,985407,96571,,,,,,,Johor,Pontian,1,7,1_7
Johor,1,Johor Bahru,2,1_2,2010,1334188,1066,2.1,388853,327140,61713,331221,4,708660,625528,1218496,115692,634153,456112,120683,7548,363540,924219,46429,970648,368322,556258,39505,6563,,681428,45536,457761,122074,7489,3560,16340,1242608,91580,,,,,,,Johor,Segamat,1,8,1_8
Johor,1,Johor Bahru,2,1_2,2020,1711191,1066,2.5,610314,449848,160466,460669,3.6,907315,803876,1588023,123168,826819,606262,144991,9951,450281,1200502,60408,1260910,428860,776542,31571,23545,392,883183,75957,566112,156071,15094,14773,1,1702424,8767,,,,,,,Johor,Kulai,1,9,1_9
Johor,1,Kluang,3,1_3,1970,134510,2865,,,,,,,68791,65719,134510,,49931,65761,18477,341,,,,,,,,,,,,,,,,,,,,,,,,,Johor,Tangkak,1,10,1_10
Johor,1,Kluang,3,1_3,1980,179791,2865,2.9,,,,,,91583,88208,179791,,79253,77138,23052,348,74668,99139,5984,,,,,,,,,,,,,,50315,129476,,,,,,,Kedah,Baling,2,1,2_1
Johor,1,Kluang,3,1_3,1991,224424,2865,2.2,58200,45539,12661,46703,4.7,115871,108553,216660,7764,100194,81761,24671,10034,83945,133331,7148,166607,74984,85021,5886,716,,117636,3642,63821,22044,15572,1283,56,98669,125755,,,,,,,Kedah,Bandar Baharu,2,2,2_2
Johor,1,Kluang,3,1_3,2000,255601,2865,1.3,72480,56915,15565,57642,4.4,134214,121387,241426,14175,131247,84170,24867,1142,84642,161684,9275,170959,57159,105634,7320,846,,144879,3934,71240,22915,11254,902,477,149070,106531,,,,,,,Kedah,Kota Setar,2,3,2_3
Johor,1,Kluang,3,1_3,2010,288364,2865,1.2,80394,69586,10808,70280,4,160007,128357,253682,34682,141934,86690,24012,1046,74961,196367,17036,213403,75826,124044,12187,1346,,162446,5101,86974,24172,2384,1494,5793,174663,113701,,,,,,,Kedah,Kuala Muda,2,4,2_4
Johor,1,Kluang,3,1_3,2020,323762,2865,1.2,94101,78214,15887,81993,3.7,179314,144448,289981,33781,171424,92320,24842,1395,75113,224904,23745,248649,83548,148113,13305,3596,87,193955,6792,91720,28316,1274,1704,1,225555,98207,,,,,,,Kedah,Kubang Pasu,2,5,2_5
Johor,1,Kota Tinggi,4,1_4,1970,60942,3489,,,,,,,31906,29036,60942,,39741,17150,3857,194,,,,,,,,,,,,,,,,,,,,,,,,,Kedah,Kulim,2,6,2_6
Johor,1,Kota Tinggi,4,1_4,1980,114267,3489,6.3,,,,,,59944,54323,114267,,91691,17583,4954,39,53426,58228,2613,,,,,,,,,,,,,,13056,101211,,,,,,,Kedah,Langkawi,2,7,2_7
Johor,1,Kota Tinggi,4,1_4,1991,174425,3489,4.2,38793,33155,5638,33692,5.1,90836,83589,167920,6505,133127,18903,6142,9748,73555,97247,3623,123893,58265,61952,3173,503,,148829,1229,14168,5167,4248,316,104,24327,150098,,,,,,,Kedah,Padang Terap,2,8,2_8
Johor,1,Kota Tinggi,4,1_4,2000,192336,3489,1,45535,38972,6563,39368,4.9,101139,91197,181458,10878,156232,19163,5573,490,65629,121738,4969,126707,45702,75808,4582,615,,167015,1200,15597,4847,3289,347,41,38863,153473,,,,,,,Kedah,Sik,2,9,2_9
Johor,1,Kota Tinggi,4,1_4,2010,187824,3489,-0.2,50750,44161,6589,44562,4.2,98733,89091,171356,16468,146380,18817,5592,567,50611,126704,10509,137213,45213,83506,7705,789,,160223,1512,18846,5166,1075,425,577,70726,117098,,,,,,,Kedah,Yan,2,10,2_10
