area_type,area,income_mean,expenditure_mean,gini,poverty_rate
state,Johor,8013,4793,0.366,3.9
state,Kedah,5522,3359,0.354,8.8
state,Kelantan,4874,3223,0.378,12.4
state,Melaka,7741,4955,0.383,3.9
state,Negeri Sembilan,6707,4350,0.391,4.3
state,Pahang,5667,3652,0.33,4.3
state,Perak,5645,3564,0.377,7.3
state,Perlis,5476,3468,0.334,3.9
state,Pulau Pinang,7774,4630,0.359,1.9
state,Sabah,5745,2792,0.397,19.5
state,Sarawak,5959,3448,0.387,9
state,Selangor,10827,5830,0.393,1.2
state,Terengganu,6815,4336,0.335,6.1
state,W.P. Kuala Lumpur,13257,6913,0.35,0.2
state,W.P. Labuan,8319,4097,0.333,3.1
state,W.P. Putrajaya,12840,7980,0.361,0.4
district,Batu Pahat,7392,4493,0.295,2.9
district,Johor Bahru,9315,5488,0.388,3.3
district,Kluang,5953,3671,0.333,5
district,Kota Tinggi,6982,3940,0.361,6
district,Mersing,4937,3225,0.377,12.1
district,Muar,7540,4908,0.353,4.1
district,Pontian,6776,3790,0.354,5.8
district,Segamat,6431,4139,0.315,2.9
district,Kulai,8602,4881,0.324,3.2
district,Tangkak,6659,4226,0.322,3.7
district,Baling,4313,2535,0.339,17.9
district,Bandar Baharu,4959,2425,0.324,7.2
district,Kota Setar,5773,4043,0.352,6.4
district,Kuala Muda,5656,3215,0.384,10.9
district,Kubang Pasu,6291,4042,0.361,4.8
district,Kulim,5476,3175,0.331,9.9
district,Langkawi,6737,3334,0.276,0.9
district,Padang Terap,4781,3419,0.307,9.1
district,Sik,4960,2921,0.32,7.6
district,Yan,4397,2643,0.369,12.7
district,Pendang,4680,2798,0.312,8.1
district,Pokok Sena,5046,3142,0.303,7.3
district,Bachok,4728,2742,0.361,13.1
district,Kota Bharu,5577,3746,0.381,9.1
district,Machang,4841,3056,0.352,7.1
district,Pasir Mas,4745,3180,0.381,13.1
district,Pasir Puteh,4688,3105,0.386,12.7
district,Tanah Merah,4338,2869,0.346,12
district,Tumpat,4838,3377,0.374,12.5
district,Gua Musang,4009,2929,0.367,17.2
district,Kuala Krai,3979,2505,0.382,22.4
district,Jeli,3872,2289,0.328,18.5
district,Kecil Lojing,3002,2592,0.233,33.3
district,Alor Gajah,7050,4625,0.356,3.8
district,Jasin,7340,4779,0.386,3
district,Melaka Tengah,8100,5120,0.389,4.2
district,Jelebu,5414,3796,0.379,5.2
district,Kuala Pilah,5040,3909,0.366,8.3
district,Port Dickson,6393,4083,0.378,4.3
district,Rembau,5163,3329,0.362,5.7
district,Seremban,7611,4802,0.386,3.2
district,Tampin,5786,3700,0.386,4.8
district,Jempol,4926,3428,0.344,6.2
district,Bentong,5300,3634,0.284,3.3
district,Cameron Highlands,6576,4061,0.273,0.4
district,Jerantut,4452,2783,0.288,9.9
district,Kuantan,7071,4346,0.329,1.8
district,Lipis,4504,3312,0.292,5.8
district,Pekan,5026,3174,0.317,6.6
district,Raub,5005,4059,0.313,4.7
district,Temerloh,5205,2935,0.323,6.1
district,Rompin,4641,3337,0.295,6.7
district,Maran,4678,3523,0.313,6.4
district,Bera,4566,2839,0.29,2.9
district,Seberang Perai Tengah,7457,4390,0.367,2.3
district,Seberang Perai Utara,6914,3796,0.359,4.6
district,Seberang Perai Selatan,6843,3956,0.323,2.1
district,Timur Laut,8493,5126,0.356,0.5
district,Barat Daya,8393,5414,0.361,1
district,Batang Padang,5637,2934,0.394,7.1
district,Manjung,6137,3742,0.383,6.9
district,Kinta,6120,3881,0.4,4.9
district,Kerian,5532,3751,0.306,6
district,Kuala Kangsar,5156,3366,0.387,10.6
district,Larut Dan Matang,5364,3692,0.325,7.9
district,Hilir Perak,4783,3153,0.369,12
district,Hulu Perak,4554,2611,0.354,12.9
district,Perak Tengah,5390,3492,0.373,10
district,Kampar,4845,2571,0.359,7
district,Muallim,5488,3459,0.391,11.6
district,Bagan Datuk,5705,3407,0.364,6.4
district,Selama,5364,3692,0.325,7.9
district,Perlis,5476,3468,0.334,3.9
district,Gombak,11536,5644,0.402,0.4
district,Klang,9980,5530,0.378,1.7
district,Kuala Langat,8375,4872,0.336,2.4
district,Kuala Selangor,7866,4790,0.4,3.5
district,Petaling,12145,6787,0.409,1.1
district,Sabak Bernam,6042,3941,0.391,4.7
district,Sepang,12254,5751,0.397,0.7
district,Ulu Langat,10252,5223,0.338,0.6
district,Ulu Selangor,7598,4165,0.339,1.5
district,Besut,5819,3773,0.332,10.1
district,Dungun,7564,4687,0.341,5.1
district,Kemaman,7854,4652,0.346,4.6
district,Kuala Terengganu,6691,4500,0.298,4.4
district,Marang,5928,4008,0.31,8.2
district,Hulu Terengganu,5363,3759,0.339,7.9
district,Setiu,5600,3494,0.329,6.5
district,Kuala Nerus,7647,4696,0.316,5.4
district,Tawau,6212,2671,0.387,14.2
district,Lahad Datu,5681,2829,0.369,19.3
district,Semporna,5933,2578,0.474,31.5
district,Sandakan,6020,3076,0.386,18.2
district,Kinabatangan,5128,1895,0.378,32.1
district,Beluran,3907,1805,0.385,45
district,Kota Kinabalu,7665,3338,0.382,7.5
district,Ranau,4756,2682,0.397,26.8
district,Kota Belud,4382,2371,0.412,34
district,Tuaran,5050,2932,0.383,16.7
district,Penampang,6570,3198,0.321,4.4
district,Papar,5733,2887,0.355,12.7
district,Kudat,3966,2523,0.427,41.5
district,Kota Marudu,3771,2538,0.43,46.1
district,Pitas,3378,2064,0.458,53.6
district,Beaufort,4861,2748,0.362,21
district,Kuala Penyu,4275,2135,0.377,29.7
district,Sipitang,5271,2279,0.347,10.5
district,Tenom,4734,2606,0.347,17.2
district,Nabawan,4443,2483,0.299,35.6
district,Keningau,5445,2770,0.369,17.1
district,Tambunan,4826,2842,0.378,16.7
district,Kunak,5194,2461,0.392,26
district,Tongod,3364,2000,0.422,56.6
district,Putatan,6471,3113,0.357,10.9
district,Telupid,4762,1903,0.447,40.7
district,Kalabakan,6212,2671,0.387,14.2
district,Kuching,7376,4227,0.374,5.6
district,Bau,5183,2954,0.346,9.6
district,Lundu,4428,2621,0.359,10.2
district,Samarahan,6789,3980,0.324,4.7
district,Serian,4878,2971,0.375,16.8
district,Simunjan,3833,2290,0.377,21.1
district,Sri Aman,4621,2907,0.356,7.4
district,Lubok Antu,3905,2837,0.365,7.9
district,Betong,3962,2851,0.374,22.4
district,Saratok,4202,2868,0.372,13.8
district,Sarikei,4609,3207,0.372,9.1
district,Maradong,4091,2600,0.375,12.7
district,Daro,3712,2403,0.32,18.5
district,Julau,3506,2769,0.401,13
district,Sibu,6140,3618,0.365,7.3
district,Dalat,4790,3075,0.389,11.9
district,Mukah,5447,2972,0.367,10.4
district,Kanowit,3480,2497,0.387,21.9
district,Bintulu,8324,4046,0.322,2.1
district,Tatau,5345,3237,0.291,5
district,Kapit,4344,3462,0.336,3.8
district,Song,3443,2574,0.353,6
district,Belaga,4229,2187,0.334,6.9
district,Miri,7235,3864,0.353,4.7
district,Marudi,4605,2433,0.378,16.9
district,Limbang,5989,3394,0.382,11
district,Lawas,5288,3324,0.384,14.4
district,Matu,3901,2619,0.383,24.1
district,Asajaya,4316,2690,0.383,20
district,Pakan,3175,2402,0.309,21.7
district,Selangau,3588,2211,0.385,14.3
district,Tebedu,3439,2160,0.37,28.7
district,Pusa,2758,2160,0.245,38.6
district,Kabong,3294,2571,0.282,23
district,Tanjung Manis,3849,2733,0.345,16.1
district,Sebauh,4202,2241,0.257,3.4
district,Bukit Mabong,4665,3222,0.348,7.5
district,Subis,5528,2312,0.347,7.4
district,Beluru,4119,2473,0.353,12
district,Telang Usan,4415,2203,0.358,13.6
district,W.P. Kuala Lumpur,13257,6913,0.35,0.2
district,W.P. Labuan,8319,4097,0.333,3.1
district,W.P. Putrajaya,12840,7980,0.361,0.4
parliment,P.001 Padang Besar,4747,3154,0.31,5.7
parliment,P.002 Kangar,5899,3694,0.35,4.2
parliment,P.003 Arau,5411,3381,0.31,1.4
parliment,P.004 Langkawi,6737,3334,0.28,0.9
parliment,P.005 Jerlun,4919,2768,0.29,6.7
parliment,P.006 Kubang Pasu,6673,4360,0.37,4.3
parliment,P.007 Padang Terap,4781,3419,0.31,9.1
parliment,P.008 Pokok Sena,5522,3564,0.33,6.8
parliment,P.009 Alor Setar,5540,4146,0.32,4.9
parliment,P.010 Kuala Kedah,5912,4183,0.38,7.3
parliment,P.011 Pendang,4680,2798,0.31,8.1
parliment,P.012 Jerai,4404,2635,0.38,14.9
parliment,P.013 Sik,4960,2921,0.32,7.6
parliment,P.014 Merbok,5967,3394,0.4,11.1
parliment,P.015 Sungai Petani,5745,3255,0.36,9.2
parliment,P.016 Baling,4313,2535,0.34,17.9
parliment,P.017 Padang Serai,5293,3038,0.32,9.5
parliment,P.018 Kulim-Bandar Baharu,5671,3209,0.35,9.8
parliment,P.019 Tumpat,4838,3377,0.374,12.5
parliment,P.020 Pengkalan Chepa,5353,3635,0.347,8.6
parliment,P.021 Kota Bharu,5201,3569,0.346,7.4
parliment,P.022 Pasir Mas,5617,3612,0.401,10
parliment,P.023 Rantau Panjang,3864,2715,0.324,16.2
parliment,P.024 Kubang Kerian,6219,4033,0.429,10.1
parliment,P.025 Bachok,4728,2742,0.361,13.1
parliment,P.026 Ketereh,5618,3710,0.396,11.2
parliment,P.027 Tanah Merah,4487,2984,0.339,10.6
parliment,P.028 Pasir Puteh,4688,3105,0.386,12.7
parliment,P.029 Machang,4841,3056,0.352,7.1
parliment,P.030 Jeli,3750,2307,0.342,18.9
parliment,P.031 Kuala Krai,3979,2505,0.382,22.4
parliment,P.032 Gua Musang,3918,2900,0.36,18.7
parliment,P.033 Besut,6033,3840,0.339,9.5
parliment,P.034 Setiu,5591,3621,0.339,9.3
parliment,P.035 Kuala Nerus,7716,4715,0.298,3.8
parliment,P.036 Kuala Terengganu,6689,4599,0.283,3.3
parliment,P.037 Marang,6299,4225,0.318,7.5
parliment,P.038 Hulu Terengganu,5577,3853,0.337,7.8
parliment,P.039 Dungun,7553,4688,0.342,5.2
parliment,P.040 Kemaman,7854,4652,0.346,4.6
parliment,P.041 Kepala Batas,6739,3769,0.34,5
parliment,P.042 Tasek Gelugor,6429,3557,0.34,4.1
parliment,P.043 Bagan,7579,4119,0.38,3.4
parliment,P.044 Permatang Pauh,6435,3615,0.37,6.1
parliment,P.045 Bukit Mertajam,7901,4522,0.37,1.3
parliment,P.046 Batu Kawan,7644,4680,0.35,0.6
parliment,P.047 Nibong Tebal,6591,3808,0.32,2.5
parliment,P.048 Bukit Bendera,9862,6129,0.41,0
parliment,P.049 Tanjong,7807,4648,0.35,1.5
parliment,P.050 Jelutong,7555,4753,0.28,1.3
parliment,P.051 Bukit Gelugor,8013,4707,0.35,0.2
parliment,P.052 Bayan Baru,9040,5562,0.36,0.8
parliment,P.053 Balik Pulau,7975,5166,0.33,0.7
parliment,P.054 Gerik,5138,3072,0.349,8.9
parliment,P.055 Lenggong,3885,2177,0.34,17.5
parliment,P.056 Larut,5173,3605,0.33,7.4
parliment,P.057 Parit Buntar,5610,3923,0.308,8
parliment,P.058 Bagan Serai,5507,3561,0.305,4.3
parliment,P.059 Bukit Gantang,4607,3363,0.31,12.9
parliment,P.060 Taiping,5916,3914,0.32,4.9
parliment,P.061 Padang Rengas,6975,4223,0.46,5.9
parliment,P.062 Sungai Siput,4399,2650,0.337,16.7
parliment,P.063 Tambun,6170,3878,0.345,5.6
