state,district,code_state,code_district,code_state_district
Johor,Batu Pahat,1,1,1_1
Johor,Johor Bahru,1,2,1_2
Johor,Kluang,1,3,1_3
Johor,Kota Tinggi,1,4,1_4
Johor,Mersing,1,5,1_5
Johor,Muar,1,6,1_6
Johor,Pontian,1,7,1_7
Johor,Segamat,1,8,1_8
Johor,Kulai,1,9,1_9
Johor,Tangkak,1,10,1_10
Kedah,Baling,2,1,2_1
Kedah,Bandar Baharu,2,2,2_2
Kedah,Kota Setar,2,3,2_3
Kedah,Kuala Muda,2,4,2_4
Kedah,Kubang Pasu,2,5,2_5
Kedah,Kulim,2,6,2_6
Kedah,Langkawi,2,7,2_7
Kedah,Padang Terap,2,8,2_8
Kedah,Sik,2,9,2_9
Kedah,Yan,2,10,2_10
Kedah,Pendang,2,11,2_11
Kedah,Pokok Sena,2,12,2_12
Kelantan,Bachok,3,1,3_1
Kelantan,Kota Bharu,3,2,3_2
Kelantan,Machang,3,3,3_3
Kelantan,Pasir Mas,3,4,3_4
Kelantan,Pasir Puteh,3,5,3_5
Kelantan,Tanah Merah,3,6,3_6
Kelantan,Tumpat,3,7,3_7
Kelantan,Gua Musang,3,8,3_8
Kelantan,Kuala Krai,3,9,3_9
Kelantan,Jeli,3,10,3_10
Kelantan,Kecil Lojing,3,11,3_11
Melaka,Alor Gajah,4,1,4_1
Melaka,Jasin,4,2,4_2
Melaka,Melaka Tengah,4,3,4_3
Negeri Sembilan,Jelebu,5,1,5_1
Negeri Sembilan,Kuala Pilah,5,2,5_2
Negeri Sembilan,Port Dickson,5,3,5_3
Negeri Sembilan,Rembau,5,4,5_4
Negeri Sembilan,Seremban,5,5,5_5
Negeri Sembilan,Tampin,5,6,5_6
Negeri Sembilan,Jempol,5,7,5_7
Pahang,Bentong,6,1,6_1
Pahang,Cameron Highlands,6,2,6_2
Pahang,Jerantut,6,3,6_3
Pahang,Kuantan,6,4,6_4
Pahang,Lipis,6,5,6_5
Pahang,Pekan,6,6,6_6
Pahang,Raub,6,7,6_7
Pahang,Temerloh,6,8,6_8
Pahang,Rompin,6,9,6_9
Pahang,Maran,6,10,6_10
Pahang,Bera,6,11,6_11
Pulau Pinang,Seberang Perai Tengah,7,1,7_1
Pulau Pinang,Seberang Perai Utara,7,2,7_2
Pulau Pinang,Seberang Perai Selatan,7,3,7_3
Pulau Pinang,Timur Laut,7,4,7_4
Pulau Pinang,Barat Daya,7,5,7_5
Perak,Batang Padang,8,1,8_1
Perak,Manjung,8,2,8_2
Perak,Kinta,8,3,8_3
Perak,Kerian,8,4,8_4
Perak,Kuala Kangsar,8,5,8_5
Perak,Larut Dan Matang,8,6,8_6
Perak,Hilir Perak,8,7,8_7
Perak,Hulu Perak,8,8,8_8
Perak,Perak Tengah,8,9,8_9
Perak,Kampar,8,10,8_10
Perak,Muallim,8,11,8_11
Perak,Bagan Datuk,8,12,8_12
Perak,Selama,8,13,8_13
Perlis,Perlis,9,1,9_1
Selangor,Gombak,10,1,10_1
Selangor,Klang,10,2,10_2
Selangor,Kuala Langat,10,3,10_3
Selangor,Kuala Selangor,10,4,10_4
Selangor,Petaling,10,5,10_5
Selangor,Sabak Bernam,10,6,10_6
Selangor,Sepang,10,7,10_7
Selangor,Ulu Langat,10,8,10_8
Selangor,Ulu Selangor,10,9,10_9
Terengganu,Besut,11,1,11_1
Terengganu,Dungun,11,2,11_2
Terengganu,Kemaman,11,3,11_3
Terengganu,Kuala Terengganu,11,4,11_4
Terengganu,Marang,11,5,11_5
Terengganu,Hulu Terengganu,11,6,11_6
Terengganu,Setiu,11,7,11_7
Terengganu,Kuala Nerus,11,8,11_8
Sabah,Tawau,12,1,12_1
Sabah,Lahad Datu,12,2,12_2
Sabah,Semporna,12,3,12_3
Sabah,Sandakan,12,4,12_4
Sabah,Kinabatangan,12,5,12_5
Sabah,Beluran,12,6,12_6
Sabah,Kota Kinabalu,12,7,12_7
Sabah,Ranau,12,8,12_8
Sabah,Kota Belud,12,9,12_9
Sabah,Tuaran,12,10,12_10
Sabah,Penampang,12,11,12_11
Sabah,Papar,12,12,12_12
Sabah,Kudat,12,13,12_13
Sabah,Kota Marudu,12,14,12_14
Sabah,Pitas,12,15,12_15
Sabah,Beaufort,12,16,12_16
Sabah,Kuala Penyu,12,17,12_17
Sabah,Sipitang,12,18,12_18
Sabah,Tenom,12,19,12_19
Sabah,Nabawan,12,20,12_20
Sabah,Keningau,12,21,12_21
Sabah,Tambunan,12,22,12_22
