state,district,year,total_population,area_km2,dwellings_total,dwellings_occupied,dwellings_empty,households_total,households_single,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural
Johor,Batu Pahat,2020,495338,1966,129486,105356,24130,116252,110189,4.00,261609,233729,465143,30195,316367,140103,6910,1763,105923,356460,32955,389415,159048,211339,13635,5010,383,330803,14565,129831,13484,5570,1085,0,309750,185588
Johor,Johor Bahru,2020,1711191,1066,610314,449848,160466,460669,456820,3.60,907315,803876,1588023,123168,826819,606262,144991,9951,450281,1200502,60408,1260910,428860,776542,31571,23545,392,883183,75957,566112,156071,15094,14773,1,1702424,8767
Johor,Kluang,2020,323762,2865,94101,78214,15887,81993,80763,3.70,179314,144448,289981,33781,171424,92320,24842,1395,75113,224904,23745,248649,83548,148113,13305,3596,87,193955,6792,91720,28316,1274,1704,1,225555,98207
Johor,Kota Tinggi,2020,222382,3489,70315,54759,15556,57786,56933,3.70,118422,103960,208575,13807,183576,18630,5541,828,52555,151798,18029,169827,57803,99096,10820,2085,23,194191,2326,18315,6281,545,724,0,107232,115150
Johor,Mersing,2020,78195,2857,21815,18600,3215,20673,20201,3.60,41939,36256,74072,4123,65887,7119,864,202,18786,53606,5803,59409,20485,34383,3761,751,29,67527,992,6953,1128,491,1104,0,22553,55642
Johor,Muar,2020,314776,1393,79980,64539,15441,69603,67004,4.20,173296,141480,280956,33820,174423,100430,5452,651,71991,223265,19520,242785,97778,132260,10542,2188,17,196033,5137,101002,10155,1546,903,0,180241,134535
Johor,Pontian,2020,173318,933,46692,42115,4577,42519,42286,4.00,93247,80071,159983,13335,115269,42608,1367,739,40237,118845,14236,133081,45959,77854,7499,1743,26,125176,1894,41562,3326,1126,234,0,83930,89388
Johor,Segamat,2020,197762,2867,65038,51424,13614,52855,51690,3.60,103200,94562,186121,11641,106696,63132,15711,582,39953,138242,19567,157809,58646,88748,8105,2244,66,113382,2099,62404,16807,1063,2006,1,104669,93093
Johor,Kulai,2020,329497,756,83756,66200,17556,77199,75873,3.70,177734,151763,282299,47198,155332,95259,30225,1483,68754,244354,16389,260743,120385,129752,7237,3363,6,181646,9741,91809,37923,3760,4617,1,291941,37556
Johor,Tangkak,2020,163449,977,43438,35534,7904,38178,37665,4.10,85231,78218,155350,8099,103381,42789,8392,788,35717,117087,10645,127732,50246,68390,6937,2139,20,108783,1963,41096,9226,1883,498,0,75189,88260
Kedah,Baling,2020,142643,1529,41987,35114,6873,37438,36039,3.80,73102,69541,139748,2895,128748,4218,4517,2265,38544,93524,10575,103867,35916,59302,6382,961,1306,130000,403,6054,4635,240,4,1307,45148,97495
Kedah,Bandar Baharu,2020,44412,271,12664,10705,1959,11112,10994,3.90,22740,21672,43107,1305,36271,4141,2611,84,11582,29342,3488,33240,11367,18763,2469,356,285,37316,86,3540,2563,620,2,285,11557,32855
Kedah,Kota Setar,2020,374051,420,109919,89567,20352,95942,94306,3.80,186128,187923,361151,12900,269268,83371,7306,1206,94415,247897,31739,271997,80928,163027,16061,4408,7573,274649,2342,81226,6538,1603,120,7573,300448,73603
Kedah,Kuala Muda,2020,544984,913,166581,128271,38310,131802,129790,3.90,280022,264962,509844,35140,366068,83024,58581,2171,130338,369798,44848,382151,114011,228387,15920,4559,19274,376394,5990,81498,57755,3866,206,19275,478314,66670
Kedah,Kubang Pasu,2020,237759,946,72463,55395,17068,58695,56247,3.90,117316,120443,230846,6913,207675,14934,4911,3326,63125,156482,18152,179324,63130,102416,9731,2097,1950,212015,1885,16649,4488,200,571,1951,128858,108901
Kedah,Kulim,2020,337699,774,93407,77947,15460,80772,79544,4.10,173041,164658,318348,19351,221452,47366,48070,1460,79726,230858,27115,233324,72669,142274,8264,2521,7596,230686,3810,46281,46502,2583,241,7596,296845,40854
Kedah,Langkawi,2020,94138,526,33025,25680,7345,25983,25672,3.60,48694,45444,90015,4123,82688,4611,1741,975,24038,63593,6507,68924,21294,41605,3105,1430,1490,85490,940,4523,1579,56,60,1490,88986,5152
Kedah,Padang Terap,2020,65698,1359,19028,15619,3409,15968,15882,4.10,34223,31475,62389,3309,57279,497,28,4585,18013,43000,4685,48427,15580,28818,3300,592,137,58752,206,6467,67,11,58,137,0,65698
Kedah,Sik,2020,67925,1635,19135,17254,1881,17421,17279,3.80,34674,33251,65808,2117,61813,513,57,3425,18668,44401,4856,50239,14493,31203,3279,598,666,63010,42,4087,55,20,1,710,9707,58218
Kedah,Yan,2020,73384,246,17983,15331,2652,16927,16826,4.30,37659,35725,72802,582,69938,2734,63,67,19925,47866,5593,51001,15558,31260,3394,560,229,70332,72,2673,36,37,5,229,33969,39415
Kedah,Pendang,2020,98922,629,29614,23814,5800,24077,23879,4.10,52476,46446,97010,1912,88054,2832,413,5711,27166,64462,7294,68160,19645,43015,4145,849,506,89036,207,8350,347,460,16,506,21833,77089
Kedah,Pokok Sena,2020,49812,244,15249,11954,3295,12091,11914,3.70,27211,22601,47012,2800,43502,2359,757,394,13304,32848,3660,37784,12369,20803,2468,1200,944,44940,290,2628,885,120,5,944,19676,30136
Kelantan,Bachok,2020,157288,279,37058,29966,7092,31355,30641,4.90,76210,81078,156130,1158,154240,1354,112,424,43156,104538,9594,114132,47556,58978,5885,1435,278,155139,160,1583,100,18,10,278,0,157288
