state,parlimen,dun,code_state,code_parlimen,code_dun,code_state_dun
Perlis,P.001 Padang Besar,N.01 Titi Tinggi,9,P.001,N.01,9_N.01
Perlis,P.001 Padang Besar,N.02 Beseri,9,P.001,N.02,9_N.02
Perlis,P.001 Padang Besar,N.03 Chuping,9,P.001,N.03,9_N.03
Perlis,P.001 Padang Besar,N.04 Mata Ayer,9,P.001,N.04,9_N.04
Perlis,P.001 Padang Besar,N.05 Santan,9,P.001,N.05,9_N.05
Perlis,P.002 Kangar,N.06 Bintong,9,P.002,N.06,9_N.06
Perlis,P.002 Kangar,N.07 Sena,9,P.002,N.07,9_N.07
Perlis,P.002 Kangar,N.08 Indera Kayangan,9,P.002,N.08,9_N.08
Perlis,P.002 Kangar,N.09 Kuala Perlis,9,P.002,N.09,9_N.09
Perlis,P.002 Kangar,N.10 Kayang,9,P.002,N.10,9_N.10
Perlis,P.003 Arau,N.11 Pauh,9,P.003,N.11,9_N.11
Perlis,P.003 Arau,N.12 Tambun Tulang,9,P.003,N.12,9_N.12
Perlis,P.003 Arau,N.13 Guar Sanji,9,P.003,N.13,9_N.13
Perlis,P.003 Arau,N.14 Simpang Empat,9,P.003,N.14,9_N.14
Perlis,P.003 Arau,N.15 Sanglang,9,P.003,N.15,9_N.15
Kedah,P.004 Langkawi,N.01 Ayer Hangat,2,P.004,N.01,2_N.01
Kedah,P.004 Langkawi,N.02 Kuah,2,P.004,N.02,2_N.02
Kedah,P.005 Jerlun,N.03 Kota Siputeh,2,P.005,N.03,2_N.03
Kedah,P.005 Jerlun,N.04 Ayer Hitam,2,P.005,N.04,2_N.04
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,2,P.006,N.05,2_N.05
Kedah,P.006 Kubang Pasu,N.06 Jitra,2,P.006,N.06,2_N.06
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,2,P.007,N.07,2_N.07
Kedah,P.007 Padang Terap,N.08 Pedu,2,P.007,N.08,2_N.08
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,2,P.008,N.09,2_N.09
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,2,P.008,N.10,2_N.10
Kedah,P.008 Pokok Sena,N.11 Derga,2,P.008,N.11,2_N.11
Kedah,P.009 Alor Setar,N.12 Suka Menanti,2,P.009,N.12,2_N.12
Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,2,P.009,N.13,2_N.13
Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,2,P.009,N.14,2_N.14
Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,2,P.010,N.15,2_N.15
Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,2,P.010,N.16,2_N.16
Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,2,P.010,N.17,2_N.17
Kedah,P.011 Pendang,N.18 Tokai,2,P.011,N.18,2_N.18
Kedah,P.011 Pendang,N.19 Sungai Tiang,2,P.011,N.19,2_N.19
Kedah,P.012 Jerai,N.20 Sungai Limau,2,P.012,N.20,2_N.20
